keyword_asset_id,keyword,traffic_word_type,source_sheet,source_row,row_layout
kw_0024,trickle charger for car battery,SP广告词,5.关键词库,25,rich_top_asin_col33
kw_0025,portable car battery charger,自然搜索词,5.关键词库,26,rich_top_asin_col33
kw_0026,6v battery charger,SP广告词,5.关键词库,27,rich_top_asin_col33
kw_0027,battery maintainer 12 volt,SP广告词,5.关键词库,28,rich_top_asin_col33
kw_0028,jump box for car battery,自然搜索词,5.关键词库,29,rich_top_asin_col33
kw_0028,jump box for car battery,HR推荐词,5.关键词库,29,rich_top_asin_col33
kw_0028,jump box for car battery,品牌广告词,5.关键词库,29,rich_top_asin_col33
kw_0028,jump box for car battery,视频广告词,5.关键词库,29,rich_top_asin_col33
kw_0028,jump box for car battery,SP广告词,5.关键词库,29,rich_top_asin_col33
kw_0029,car jump starter,自然搜索词,5.关键词库,30,rich_top_asin_col33
kw_0029,car jump starter,HR推荐词,5.关键词库,30,rich_top_asin_col33
kw_0029,car jump starter,品牌广告词,5.关键词库,30,rich_top_asin_col33
kw_0029,car jump starter,视频广告词,5.关键词库,30,rich_top_asin_col33
kw_0029,car jump starter,SP广告词,5.关键词库,30,rich_top_asin_col33
kw_0030,12 volt battery charger,品牌广告词,5.关键词库,31,rich_top_asin_col33
kw_0031,jump box,自然搜索词,5.关键词库,32,rich_top_asin_col33
kw_0031,jump box,HR推荐词,5.关键词库,32,rich_top_asin_col33
kw_0031,jump box,品牌广告词,5.关键词库,32,rich_top_asin_col33
kw_0031,jump box,视频广告词,5.关键词库,32,rich_top_asin_col33
kw_0031,jump box,SP广告词,5.关键词库,32,rich_top_asin_col33
kw_0032,jump starters,自然搜索词,5.关键词库,33,rich_top_asin_col33
kw_0032,jump starters,HR推荐词,5.关键词库,33,rich_top_asin_col33
kw_0032,jump starters,品牌广告词,5.关键词库,33,rich_top_asin_col33
kw_0032,jump starters,视频广告词,5.关键词库,33,rich_top_asin_col33
kw_0032,jump starters,SP广告词,5.关键词库,33,rich_top_asin_col33
kw_0033,air compresor,自然搜索词,5.关键词库,34,rich_top_asin_col33
kw_0034,car battery pack,自然搜索词,5.关键词库,35,rich_top_asin_col33
kw_0034,car battery pack,品牌广告词,5.关键词库,35,rich_top_asin_col33
kw_0034,car battery pack,视频广告词,5.关键词库,35,rich_top_asin_col33
kw_0034,car battery pack,SP广告词,5.关键词库,35,rich_top_asin_col33
kw_0035,jumper,自然搜索词,5.关键词库,36,rich_top_asin_col33
kw_0035,jumper,HR推荐词,5.关键词库,36,rich_top_asin_col33
kw_0035,jumper,品牌广告词,5.关键词库,36,rich_top_asin_col33
kw_0035,jumper,视频广告词,5.关键词库,36,rich_top_asin_col33
kw_0035,jumper,SP广告词,5.关键词库,36,rich_top_asin_col33
kw_0036,car starter jump box,自然搜索词,5.关键词库,37,rich_top_asin_col33
